"sep=,"
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Estimate udacity task 2,US East (N. Virginia),NAT Gateway (~100GB/month),Network Address Translation (NAT) Gateway,0,77.85,934.20,USD,Number of NAT Gateways (1)
Estimate udacity task 2,US East (N. Virginia),,Amazon CloudFront,0,880,10560.00,USD,"Data transfer out to internet (10000 GB per month), Data transfer out to origin (1000 GB per month), Number of requests (HTTPS) (10000000 per month)"
Estimate udacity task 2,US East (N. Virginia),,S3 Standard,0,1688.8,20265.60,USD,S3 Standard storage (100 GB per month)
Estimate udacity task 2,US East (N. Virginia),,S3 Standard - Infrequent Access,0,502.5,6030.00,USD,S3 Infrequent Access storage (100 GB per month)
Estimate udacity task 2,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
Estimate udacity task 2,US East (N. Virginia),Scaled WebServers (On-Demand),Amazon EC2,3153.6,18,3369.60,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year All Upfront), Storage amount (30 GB), Instance type (a1.xlarge)"
Estimate udacity task 2,US East (N. Virginia),Application Servers,Amazon EC2,8479.68,866.64,18879.36,USD,"Operating system (Linux), Quantity (16), Pricing strategy (EC2 Instance Savings Plans 1 Year Partial Upfront), Storage amount (100 GB), Instance type (r6g.xlarge)"
Estimate udacity task 2,US East (N. Virginia),On Demand,DynamoDB on-demand capacity,0,1218.75,14625.00,USD,"Table class (Standard), Average item size (all attributes) (300 KB), Data storage size (3000 GB)"
Estimate udacity task 2,US East (N. Virginia),Replica,DynamoDB on-demand capacity,0,1218.75,14625.00,USD,"Table class (Standard), Average item size (all attributes) (300 KB), Data storage size (3000 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
